batch,charge_t,compound,form,mass_t,n,pos_t,scalar,solver,time,time_t,tpb,vel_t,steptime,fps,pups,ops
8192,float32,True,nx,float32,4,float32,False,NumpySolver,0.3632349979998253,float32,1,float32,4.434020971677555e-05,22552.89287956757,90211.57151827028,360846.28607308114
8192,float32,True,nx,float32,9,float32,False,NumpySolver,0.39294742299898644,float32,1,float32,4.796721472155596e-05,20847.572780802104,187628.15502721892,1688653.3952449702
8192,float32,True,nx,float32,16,float32,False,NumpySolver,0.47074761199837667,float32,1,float32,5.746430810527059e-05,17402.10633299665,278433.7013279464,4454939.221247142
8192,float32,True,nx,float32,36,float32,False,NumpySolver,0.870143559997814,float32,1,float32,0.00010621869628879566,9414.538446989805,338923.384091633,12201241.827298788
4608,float32,True,nx,float32,64,float32,False,NumpySolver,1.0515989539999282,float32,1,float32,0.0002282115785590122,4381.89861493559,280441.51135587774,17948256.726776175
911,float32,True,nx,float32,144,float32,False,NumpySolver,0.8570375330018578,float32,1,float32,0.000940765678377451,1062.9639483922406,153066.80856848264,22041620.4338615
288,float32,True,nx,float32,256,float32,False,NumpySolver,0.8113988309996785,float32,1,float32,0.002817357052082217,354.94258679812435,90865.30222031983,23261517.368401878
57,float32,True,nx,float32,576,float32,False,NumpySolver,0.9057545069990738,float32,1,float32,0.01589042994735217,62.93095928261088,36248.23254678387,20878981.946947508
18,float32,True,nx,float32,1024,float32,False,NumpySolver,0.9376043470001605,float32,1,float32,0.05208913038889781,19.197863211268707,19658.611928339156,20130418.614619296
4,float32,True,nx,float32,2304,float32,False,NumpySolver,1.2311358799997834,float32,1,float32,0.30778396999994584,3.2490321052138484,7485.769970412707,17247214.011830878
2,float32,True,nx,float32,4096,float32,False,NumpySolver,1.9875667490014166,float32,1,float32,0.9937833745007083,1.006255513685178,4121.622584054489,16882166.10428719
8192,float32,False,nx,float32,4,float32,False,NumpySolver,0.3623747310011822,float32,1,float32,4.423519665541775e-05,22606.432786764246,90425.73114705698,361702.92458822794
8192,float32,False,nx,float32,9,float32,False,NumpySolver,0.37749625900323736,float32,1,float32,4.608108630410612e-05,21700.877305726484,195307.89575153837,1757771.0617638454
8192,float32,False,nx,float32,16,float32,False,NumpySolver,0.4605089120013872,float32,1,float32,5.621446679704434e-05,17789.015123284567,284624.2419725531,4553987.871560849
8192,float32,False,nx,float32,36,float32,False,NumpySolver,0.8622219009994296,float32,1,float32,0.00010525169689934444,9501.03446746642,342037.2408287911,12313340.66983648
4608,float32,False,nx,float32,64,float32,False,NumpySolver,1.0374520440018387,float32,1,float32,0.00022514150260456568,4441.651088010997,284265.6696327038,18193002.856493045
911,float32,False,nx,float32,144,float32,False,NumpySolver,0.8325748440001917,float32,1,float32,0.0009139131108673893,1094.1959231232672,157564.21292975047,22689246.66188407
288,float32,False,nx,float32,256,float32,False,NumpySolver,0.8052204660016287,float32,1,float32,0.0027959043958389884,357.66602087262083,91562.50134339093,23440000.34390808
57,float32,False,nx,float32,576,float32,False,NumpySolver,0.9105894069980423,float32,1,float32,0.015975252754351618,62.59681867803954,36055.767558550775,20768122.113725245
18,float32,False,nx,float32,1024,float32,False,NumpySolver,0.9441535719997773,float32,1,float32,0.05245297622220985,19.06469512356433,19522.247806529875,19990781.75388659
4,float32,False,nx,float32,2304,float32,False,NumpySolver,1.19337478700254,float32,1,float32,0.298343696750635,3.3518388720504166,7722.6367612041595,17792955.097814385
2,float32,False,nx,float32,4096,float32,False,NumpySolver,1.942760460999125,float32,1,float32,0.9713802304995625,1.0294629935856519,4216.68042172683,17271523.007393096
8192,float32,True,xn,float32,4,float32,True,NumpySolver,0.317231738998089,float32,1,float32,3.872457751441516e-05,25823.393415402705,103293.57366161082,413174.2946464433
8192,float32,True,xn,float32,9,float32,True,NumpySolver,0.3222922520035354,float32,1,float32,3.934231591840032e-05,25417.92410172534,228761.31691552806,2058851.8522397527
8192,float32,True,xn,float32,16,float32,True,NumpySolver,0.37019410799985053,float32,1,float32,4.5189710449200504e-05,22128.931344318717,354062.90150909947,5665006.424145591
8192,float32,True,xn,float32,36,float32,True,NumpySolver,0.43870052000056603,float32,1,float32,5.3552309570381595e-05,18673.330954769397,672239.9143716983,24200636.917381138
4608,float32,True,xn,float32,64,float32,True,NumpySolver,0.358555710001383,float32,1,float32,7.781156901071679e-05,12851.559385240935,822499.8006554198,52639987.24194687
911,float32,True,xn,float32,144,float32,True,NumpySolver,0.17673924199698376,float32,1,float32,0.00019400575411304474,5154.48629125357,742246.025940514,106883427.73543403
288,float32,True,xn,float32,256,float32,True,NumpySolver,0.16867029900095076,float32,1,float32,0.0005856607604199679,1707.4731100012848,437113.1161603289,111900957.7370442
57,float32,True,xn,float32,576,float32,True,NumpySolver,0.3165799070011417,float32,1,float32,0.00555403345616038,180.0493295356058,103708.41381250895,59736046.356005155
18,float32,True,xn,float32,1024,float32,True,NumpySolver,0.37314583899933496,float32,1,float32,0.02073032438885194,48.238511913386446,49396.23619930772,50581745.86809111
4,float32,True,xn,float32,2304,float32,True,NumpySolver,0.536249193999538,float32,1,float32,0.1340622984998845,7.459218670645585,17186.039817167428,39596635.73875375
2,float32,True,xn,float32,4096,float32,True,NumpySolver,0.834859481001331,float32,1,float32,0.4174297405006655,2.3956127294634046,9812.429739882105,40191712.214557104
8192,float32,False,xn,float32,4,float32,True,NumpySolver,0.3186859990019002,float32,1,float32,3.8902099487536645e-05,25705.553509274672,102822.21403709869,411288.85614839476
8192,float32,False,xn,float32,9,float32,True,NumpySolver,0.33209300100133987,float32,1,float32,4.053869641129637e-05,24667.788767902846,222010.09891112562,1998090.8902001306
8192,float32,False,xn,float32,16,float32,True,NumpySolver,0.34578401500039035,float32,1,float32,4.220996276860234e-05,23691.089363950938,379057.429823215,6064918.87717144
