batch,charge_t,compound,form,mass_t,n,pos_t,scalar,solver,time,time_t,tpb,vel_t,steptime,fps,pups,ops
8192,float32,False,split,float32,64,float32,False,NumbaSolver,2.565040315999795,float32,64,float32,0.0003131152729491937,3193.7119853053628,204397.56705954322,13081444.291810766
4608,float32,False,split,float32,256,float32,False,NumbaSolver,2.678796260999661,float32,64,float32,0.0005813359941405514,1720.1756128629233,440364.9568929084,112733428.96458454
648,float32,False,split,float32,1024,float32,False,NumbaSolver,1.758259674999863,float32,64,float32,0.002713363695987443,368.5462444562124,377391.3543231615,386448746.82691735
41,float32,False,split,float32,4096,float32,False,NumbaSolver,1.0104867019999801,float32,64,float32,0.024646017121950733,40.57450723384265,166193.1816298195,680727271.9557407
3,float32,False,split,float32,16384,float32,False,NumbaSolver,1.1931076910004776,float32,64,float32,0.3977025636668259,2.514441925593789,41196.61650892864,674965364.8822868
8192,float64,True,nx,float64,1,float32,True,NumbaSolver,4.490079800998501,float32,64,float32,0.0005481054444578248,1824.4664600790097,1824.4664600790097,1824.4664600790097
8192,float64,True,nx,float64,4,float32,True,NumbaSolver,4.252782814999591,float32,64,float32,0.0005191385272216298,1926.268129918783,7705.072519675132,30820.290078700527
8192,float64,True,nx,float64,16,float32,True,NumbaSolver,4.280297932999019,float32,64,float32,0.0005224973062742944,1913.8854650382293,30622.16744061167,489954.6790497867
8192,float64,True,nx,float64,64,float32,True,NumbaSolver,4.3211917280004855,float32,64,float32,0.0005274892246094343,1895.773322650191,121329.49264961222,7765087.529575182
4608,float64,True,nx,float64,256,float32,True,NumbaSolver,2.5611826820004353,float32,64,float32,0.000555812213975789,1799.1688107155555,460587.2155431822,117910327.17905465
648,float64,True,nx,float64,1024,float32,True,NumbaSolver,1.6177796329993726,float32,64,float32,0.002496573507715081,400.54899121124697,410162.1670003169,420006059.0083245
41,float64,True,nx,float64,4096,float32,True,NumbaSolver,1.1490472960012994,float32,64,float32,0.028025543804909743,35.681734026685035,146152.3825733019,598640159.0202446
3,float64,True,nx,float64,16384,float32,True,NumbaSolver,1.1416680940001243,float32,64,float32,0.38055603133337473,2.627733941034244,43052.79288990505,705376958.7082044
8192,float64,False,nx,float64,1,float32,True,NumbaSolver,1.682708578000529,float32,64,float32,0.0002054087619629552,4868.341498403786,4868.341498403786,4868.341498403786
8192,float64,False,nx,float64,4,float32,True,NumbaSolver,1.771571995001068,float32,64,float32,0.0002162563470460288,4624.141735766749,18496.566943066995,73986.26777226798
8192,float64,False,nx,float64,16,float32,True,NumbaSolver,1.6861628639999253,float32,64,float32,0.00020583042773436588,4858.368177180044,77733.8908348807,1243742.2533580912
8192,float64,False,nx,float64,64,float32,True,NumbaSolver,1.6906634839997423,float32,64,float32,0.0002063798198241873,4845.434989001778,310107.8392961138,19846901.714951284
4608,float64,False,nx,float64,256,float32,True,NumbaSolver,2.4907497679996595,float32,64,float32,0.0005405272934027039,1850.045339440389,473611.60689673957,121244571.36556533
648,float64,False,nx,float64,1024,float32,True,NumbaSolver,1.4813850260015897,float32,64,float32,0.002286088003088873,437.42847985241116,447926.763368869,458677005.6897219
41,float64,False,nx,float64,4096,float32,True,NumbaSolver,0.9343424389990105,float32,64,float32,0.02278883997558562,43.88112782710004,179737.09957980175,736203159.878868
3,float64,False,nx,float64,16384,float32,True,NumbaSolver,1.2019880180014297,float32,64,float32,0.4006626726671432,2.49586514596723,40892.2545515271,669978698.57222
8192,float64,True,nx,float64,1,float32,False,NumbaSolver,4.688639701998909,float32,64,float32,0.0005723437136229137,1747.201858250593,1747.201858250593,1747.201858250593
8192,float64,True,nx,float64,4,float32,False,NumbaSolver,4.815176913001778,float32,64,float32,0.0005877901505129124,1701.2874392797985,6805.149757119194,27220.599028476776
8192,float64,True,nx,float64,16,float32,False,NumbaSolver,4.6972865059997275,float32,64,float32,0.0005733992316894199,1743.9855945632785,27903.769513012456,446460.3122081993
8192,float64,True,nx,float64,64,float32,False,NumbaSolver,4.714652792999914,float32,64,float32,0.0005755191397704973,1737.5616741413241,111203.94714504475,7117052.617282864
4608,float64,True,nx,float64,256,float32,False,NumbaSolver,2.983414112000901,float32,64,float32,0.0006474422986113066,1544.539184642232,395402.0312684114,101222920.00471331
648,float64,True,nx,float64,1024,float32,False,NumbaSolver,2.025346972000989,float32,64,float32,0.00312553545061881,319.9451792498513,327623.86355184775,335486836.2770921
41,float64,True,nx,float64,4096,float32,False,NumbaSolver,1.7384315599992988,float32,64,float32,0.04240076975608046,23.584477493043522,96602.01981150627,395681873.14792967
3,float64,True,nx,float64,16384,float32,False,NumbaSolver,1.9210743719995662,float32,64,float32,0.6403581239998554,1.5616261628004673,25585.683051322856,419195831.1128737
8192,float64,False,nx,float64,1,float32,False,NumbaSolver,2.1200270389999787,float32,64,float32,0.0002587923631591771,3864.101659695899,3864.101659695899,3864.101659695899
8192,float64,False,nx,float64,4,float32,False,NumbaSolver,2.2327874449983938,float32,64,float32,0.0002725570611570305,3668.95649576975,14675.825983079,58703.303932316
8192,float64,False,nx,float64,16,float32,False,NumbaSolver,2.131841350999821,float32,64,float32,0.0002602345399169703,3842.687447711811,61482.99916338897,983727.9866142236
8192,float64,False,nx,float64,64,float32,False,NumbaSolver,2.132170082999437,float32,64,float32,0.0002602746683348922,3842.0949929453463,245894.07954850217,15737221.091104139
4608,float64,False,nx,float64,256,float32,False,NumbaSolver,2.799172611999893,float32,64,float32,0.0006074593342013657,1646.2007309752057,421427.38712965266,107885411.10519108
648,float64,False,nx,float64,1024,float32,False,NumbaSolver,1.8578822079998645,float32,64,float32,0.002867102172839297,348.7842217390174,357155.04306075384,365726764.09421194
41,float64,False,nx,float64,4096,float32,False,NumbaSolver,1.601065558999835,float32,64,float32,0.03905037948780085,25.60794576432721,104890.14585068425,429630037.4044027
3,float64,False,nx,float64,16384,float32,False,NumbaSolver,1.8365612069992494,float32,64,float32,0.6121870689997498,1.6334876227194677,26763.06121063576,438485994.87505627
8192,float64,True,xn,float64,1,float32,True,NumbaSolver,4.289953014000275,float32,64,float32,0.0005236759050293305,1909.5780241101434,1909.5780241101434,1909.5780241101434
8192,float64,True,xn,float64,4,float32,True,NumbaSolver,4.318225128999984,float32,64,float32,0.0005271270909423809,1897.0757094123776,7588.30283764951,30353.21135059804
8192,float64,True,xn,float64,16,float32,True,NumbaSolver,4.242011309999725,float32,64,float32,0.0005178236462402008,1931.1593961781612,30898.55033885058,494376.80542160926
8192,float64,True,xn,float64,64,float32,True,NumbaSolver,4.258808549000605,float32,64,float32,0.0005198740904541754,1923.5426776633053,123106.73137045154,7878830.807708899
4608,float64,True,xn,float64,256,float32,True,NumbaSolver,2.701841357000376,float32,64,float32,0.0005863371000434844,1705.5035404135901,436608.9063458791,111771880.02454504
648,float64,True,xn,float64,1024,float32,True,NumbaSolver,1.600247059999674,float32,64,float32,0.0024695170679007315,404.9374725925958,414655.9719348181,424607715.2612537
41,float64,True,xn,float64,4096,float32,True,NumbaSolver,1.028364021998641,float32,64,float32,0.025082049317040025,39.869150537098605,163304.0405999559,668893350.2974193
